Name,Sales,Retail_Price,Averge_Sale_Price,Highest_Price,Lowest_Price,Release_Date
Jordan 1 Retro High Paris Saint Germain,2374,160,163,500,99,2018-11-06
Jordan 1 Mid Black Cone,1780,110,109,223,44,2018-09-15
Jordan 1 Retro High Guava Ice,1707,160,105,301,60,2018-09-01
Jordan 11 Retro Low Closing Ceremony,1248,170,197,375,120,2016-08-27
Jordan 4 Retro Flight Nostalgia (GS),1104,140,132,199,86,2019-03-02
Jordan 7 Retro Hare (2015),998,190,195,319,120,2015-05-16
Jordan 6 Retro Diffused Blue,821,190,174,515,111,2018-12-22
Jordan 8 Retro Reflections of a Champion,572,225,203,375,136,2019-06-08
Jordan 1 Retro High Sports Illustrated (A Star Is Born) (GS),5652,120,157,249,98,2018-12-27
Jordan 11 Retro Concord 2018 (GS),4527,170,187,249,125,2018-12-08
Jordan 1 Mid Team Orange Black,2929,120,147,225,40,2018-12-18
Jordan 14 Retro Last Shot (2018),1871,190,180,269,80,2018-06-14
Jordan 1 Retro High Spider-Man Origin Story (TD),1756,50,74,150,50,2018-12-14
Jordan XXXIII Future of Flight,1651,175,193,450,121,2018-10-18
Jordan 4 Retro Hot Punch (W),1455,190,165,250,101,2018-01-19
Jordan 11 Retro Low Bred,892,170,282,435,190,2015-05-23
Jordan 5 Retro Blue Suede,870,190,185,299,60,2017-09-30
Jordan 12 Retro Black Metallic Gold White (W),584,190,194,319,90,2019-05-17
Jordan 12 Retro Taxi (2013),553,170,343,800,186,2013-12-14
Jordan Proto Max 720 Gym Red Black,407,200,159,304,85,2019-03-21
Jordan 1 Retro High Twist (Special Box) (W),254,160,176,270,129,2019-05-02
Jordan Legacy 312 Desert Camo (GS),117,110,102,150,65,2019-01-01
Jordan 1 Mid Pine Green,4827,120,142,250,66,2018-12-18
Jordan 10 Retro Orlando,2645,190,142,270,98,2018-12-01
Jordan 1 Retro Black Toe (2016),1283,160,496,870,200,2016-11-05
Jordan 6 Retro Maroon (2015),1200,220,204,360,100,2015-12-05
Jordan 6 Retro Wheat,1181,190,139,349,99,2017-11-24
Jordan 8 Retro Aqua (2015),1145,190,208,310,75,2015-11-27
Jordan 13 Retro OG Chicago (2017),1120,190,186,249,110,2017-02-18
Jordan 6 Retro Carmine (2014),1113,170,274,450,170,2014-05-24
Jordan 11 Retro Low Cherry (2016),953,170,228,314,157,2016-06-04
Jordan 4 Retro Oreo (2015),896,190,209,400,140,2015-02-21
Jordan 1 Mid Triple Black (2018),848,110,75,160,46,2018-03-16
Jordan Legacy 312 Low Bred Cement,580,140,129,250,72,2019-01-03
Jordan 1 Low White Black Mystic Green,581,90,92,183,60,2019-04-24
Jordan 8 Retro Quai54 (2019),166,190,246,421,173,2019-06-15
Jordan 1 Retro High Spider-Man Origin Story (GS),9431,120,222,425,146,2018-12-14
Jordan 5 Retro Wings,4786,200,294,699,190,2018-09-29
Jordan 1 Mid Bred Multi-Color,3553,110,138,300,79,2019-01-16
Jordan 4 Retro Pure Money (2017),1755,190,244,550,130,2017-05-13
Jordan 1 Retro High Wheat,1452,160,101,248,52,2017-11-25
Jordan 1 Retro All Star 2017 Chameleon,1300,175,305,600,140,2017-02-19
Jordan 7 Retro Bordeaux (2015),1048,190,227,309,160,2015-07-18
Jordan 12 Retro The Master,945,190,283,395,226,2016-02-27
